word,count
討論,35
新聞,31
情報,23
請益,20
心得,12
求助,11
嗎,11
閒聊,11
我,10
再,7
霸凌,7
了,6
菜單,6
誰,6
分享,6
你,6
飛彈,6
問題,6
不相信,5
美國,5
被,5
是不是,5
純友誼,5
女友,5
林智勝,5
人,4
300轟,4
朋友,4
驅逐艦,4
問卷,4
等,4
撞船,4
畢業,4
沒,4
line,4
到底,4
送,4
怎麼,4
台積電,4
不,3
中國,3
元,3
打者,3
30k,3
16,3
點,3
開始,3
繼續,3
低,3
台灣,3
還會,3
免費,3
顯示卡,3
要,3
公告,3
禁空令,3
機械,3
半導體,3
碩,3
出路,3
手機,3
分手後,3
換,3
$,3
心情,3
勞動部,3
會,3
許銘春,3
5,3
itx,3
4,3
一個,3
這次,2
全聯,2
全球,2
服替代役,2
年次,2
内政部,2
82,2
起轉,2
30,2
婚後,2
明年,2
金錢,2
管理,2
以前,2
有,2
產業,2
走勢圖,2
標的,2
平盤,2
禁止,2
黑特,2
10,2
年,2
2330,2
顯卡,2
機,2
黃國昌,2
官員,2
帶,2
—,2
謝宜容,2
風扇,2
以下,2
放空,2
上次,2
遊戲,2
調查,2
劍,2
說,2
發錢,2
檔案,2
總統府,2
安全,2
耳機,2
上,2
影音,2
水母,2
花音,2
真晝,2
聯名,2
降息,2
役男,2
有望,2
cpbl,2
省錢,2
中職,2
影響,2
薪資,2
單場,2
新,2
結果,2
最多,2
資訊,2
范國宸,2
20,2
韓職,2
一直,2
為何,2
行為,2
他,2
升遷,2
那個,2
為什麼,2
一塊,2
首購,2
點數,2
加入,2
極端,2
個性,2
openpoint,2
不當,2
可能,2
媽咪,2
萬能,2
禮,2
兌換,2
序號,2
+,2
發生,2
折,2
下一個,2
突飛猛進,2
滿,1
11,1
windows,1
遊戲機,1
電腦,1
對比,1
388,1
福利點,1
代幣,1
更換,1
35k,1
tiss,1
誘因,1
下降,1
卸妝油,1
消費,1
買一送一,1
憲兵,1
站哨,1
刺刀,1
測試,1
gen4,1
版,1
悠遊卡,1
amd,1
結帳,1
滿千,1
88,1
沖,1
水柱,1
補體素,1
特價,1
原味,1
66,1
六日,1
強力,1
礦工,1
網爆,1
賣,1
洗乾淨,1
礦卡,1
二手,1
4799,1
ssd,1
煙霧彈,1
pcie,1
2tb,1
cs3040,1
pny,1
機殼,1
改,1
沒什麼,1
一號,1
吧,1
2017,1
緊急,1
成軍,1
正式,1
中共,1
九月,1
指揮部,1
防空,1
排查,1
進行,1
轟,1
行動,1
暫停,1
遠程,1
轟炸機,1
今年,1
海軍,1
試飛,1
前世今生,1
遼寧號,1
日本,1
火砲,1
弱勢,1
時,1
發展,1
機砲,1
酸,1
一下,1
f35,1
土共,1
那些,1
有力,1
人士,1
撤換,1
台北,1
航太展,1
量產版,1
沱江級,1
艦,1
改用,1
傳統,1
使用,1
提問,1
殲,1
天宮,1
煙囪,1
專家,1
司令,1
重視,1
艦隊,1
第七,1
拖式,1
枚,1
120,1
射擊,1
一口氣,1
操演,1
天馬,1
